program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,Support and Related Programsa,2032,7185.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2032,2032,2032,109,13
USDA Farm Programs,Support and Related Programsa,2033,7193.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2033,2033,2033,109,14
USDA Farm Programs,CCC Conservation Programsb,2022,1808.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2022,2022,2022,111,3
USDA Farm Programs,CCC Conservation Programsb,2023,1835.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2023,2023,2023,111,4
USDA Farm Programs,CCC Conservation Programsb,2024,1916.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2024,2024,2024,111,5
USDA Farm Programs,CCC Conservation Programsb,2025,1940.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2025,2025,2025,111,6
USDA Farm Programs,CCC Conservation Programsb,2026,2074.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2026,2026,2026,111,7
USDA Farm Programs,CCC Conservation Programsb,2027,2129.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2027,2027,2027,111,8
USDA Farm Programs,CCC Conservation Programsb,2028,2139.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2028,2028,2028,111,9
USDA Farm Programs,CCC Conservation Programsb,2029,2175.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2029,2029,2029,111,10
USDA Farm Programs,CCC Conservation Programsb,2030,2164.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2030,2030,2030,111,11
USDA Farm Programs,CCC Conservation Programsb,2031,2151.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2031,2031,2031,111,12
USDA Farm Programs,CCC Conservation Programsb,2032,2221.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2032,2032,2032,111,13
USDA Farm Programs,CCC Conservation Programsb,2033,2448.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2033,2033,2033,111,14
USDA Farm Programs,CCC Totalc,2022,5879.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Totalc,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2022,2022,2022,113,3
USDA Farm Programs,CCC Totalc,2023,4669.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Totalc,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2023,2023,2023,113,4
USDA Farm Programs,CCC Totalc,2024,4643.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Totalc,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2024,2024,2024,113,5
USDA Farm Programs,CCC Totalc,2025,5258.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Totalc,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2025,2025,2025,113,6
USDA Farm Programs,CCC Totalc,2026,8115.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Totalc,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2026,2026,2026,113,7
USDA Farm Programs,CCC Totalc,2027,10970.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Totalc,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2027,2027,2027,113,8
USDA Farm Programs,CCC Totalc,2028,12092.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Totalc,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2028,2028,2028,113,9
USDA Farm Programs,CCC Totalc,2029,12066.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Totalc,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2029,2029,2029,113,10
