program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,PLC,2024,30.8,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2024,2024,2024,1234,4
USDA Farm Programs,PLC,2025,71.8,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2025,2025,2025,1234,5
USDA Farm Programs,PLC,2026,79.5,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2026,2026,2026,1234,6
USDA Farm Programs,PLC,2027,79.5,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2027,2027,2027,1234,7
USDA Farm Programs,PLC,2028,82.1,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2028,2028,2028,1234,8
USDA Farm Programs,PLC,2029,74.4,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2029,2029,2029,1234,9
USDA Farm Programs,PLC,2030,71.8,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2030,2030,2030,1234,10
USDA Farm Programs,PLC,2031,71.8,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2031,2031,2031,1234,11
USDA Farm Programs,PLC,2032,76.9,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2032,2032,2032,1234,12
USDA Farm Programs,PLC,2033,79.5,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2033,2033,2033,1234,13
USDA Farm Programs,PLC,2034,82.1,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / PLC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2034,2034,2034,1234,14
USDA Farm Programs,ARC-CO,2022,68.8,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2022,2022,2022,1235,2
USDA Farm Programs,ARC-CO,2023,59.3,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2023,2023,2023,1235,3
USDA Farm Programs,ARC-CO,2024,69.1,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2024,2024,2024,1235,4
USDA Farm Programs,ARC-CO,2025,28.0,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2025,2025,2025,1235,5
USDA Farm Programs,ARC-CO,2026,20.3,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2026,2026,2026,1235,6
USDA Farm Programs,ARC-CO,2027,20.3,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2027,2027,2027,1235,7
USDA Farm Programs,ARC-CO,2028,17.8,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2028,2028,2028,1235,8
USDA Farm Programs,ARC-CO,2029,25.5,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2029,2029,2029,1235,9
USDA Farm Programs,ARC-CO,2030,28.0,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2030,2030,2030,1235,10
